iter	Passed	Remaining
413	3074	4351
414	3081	4343
415	3088	4335
416	3095	4328
417	3102	4320
418	3109	4311
419	3120	4308
420	3127	4300
421	3134	4292
422	3141	4285
423	3149	4277
424	3156	4270
425	3163	4262
426	3170	4254
427	3177	4246
428	3184	4238
429	3191	4231
430	3198	4222
431	3205	4214
432	3212	4207
433	3219	4198
434	3226	4191
435	3233	4183
436	3240	4175
437	3247	4167
438	3254	4159
439	3261	4150
440	3268	4142
441	3276	4135
442	3282	4127
443	3290	4120
444	3296	4111
445	3303	4103
446	3310	4095
447	3317	4087
448	3324	4079
449	3331	4071
450	3338	4064
451	3345	4055
452	3352	4047
453	3359	4039
454	3365	4031
455	3372	4023
456	3379	4015
457	3385	4006
458	3392	3998
459	3399	3990
460	3406	3982
461	3412	3974
462	3419	3966
463	3426	3958
464	3433	3949
465	3440	3942
466	3446	3933
467	3453	3925
468	3460	3917
469	3467	3909
470	3473	3901
471	3480	3893
472	3487	3885
473	3493	3877
474	3500	3869
475	3507	3861
476	3514	3852
477	3520	3845
478	3527	3836
479	3534	3828
480	3541	3821
481	3548	3812
482	3554	3804
483	3561	3796
484	3568	3788
485	3575	3781
486	3582	3773
487	3588	3765
488	3595	3757
489	3602	3749
490	3609	3741
491	3615	3733
492	3622	3725
493	3629	3717
494	3635	3709
495	3642	3701
496	3649	3693
497	3657	3686
498	3663	3678
499	3670	3670
500	3677	3662
501	3684	3655
502	3691	3647
503	3698	3639
504	3704	3631
505	3711	3623
506	3718	3615
507	3724	3607
508	3731	3599
509	3738	3591
510	3745	3583
511	3752	3576
512	3758	3568
513	3765	3560
514	3772	3552
515	3779	3545
516	3787	3537
517	3793	3530
518	3800	3522
519	3807	3514
520	3814	3506
521	3820	3498
522	3827	3490
523	3834	3482
524	3841	3475
525	3848	3468
526	3855	3460
527	3862	3452
528	3869	3444
529	3875	3437
530	3882	3429
531	3889	3421
532	3895	3413
533	3902	3405
534	3909	3398
535	3917	3391
536	3924	3383
537	3931	3375
538	3938	3368
539	3944	3360
540	3952	3353
541	3959	3345
542	3966	3338
543	3973	3330
544	3980	3323
545	3987	3315
546	3994	3308
547	4002	3301
548	4008	3293
549	4016	3286
550	4022	3278
551	4030	3270
552	4036	3263
553	4043	3255
554	4050	3247
555	4057	3240
556	4065	3233
557	4071	3225
558	4078	3217
559	4085	3210
560	4092	3202
561	4099	3195
562	4109	3189
563	4118	3183
564	4124	3175
565	4132	3168
566	4139	3161
567	4146	3153
568	4153	3145
569	4160	3138
570	4167	3130
571	4173	3123
572	4180	3115
573	4187	3107
574	4194	3100
575	4202	3093
576	4208	3085
577	4215	3078
578	4222	3070
579	4229	3062
580	4236	3055
581	4243	3047
582	4250	3040
583	4257	3033
584	4265	3025
585	4271	3017
586	4278	3010
587	4285	3002
588	4292	2995
589	4298	2987
590	4306	2980
591	4313	2972
592	4320	2965
593	4327	2957
594	4334	2950
595	4341	2942
596	4347	2935
597	4355	2927
598	4362	2920
599	4369	2912
600	4376	2905
601	4383	2897
602	4390	2890
603	4397	2883
604	4404	2875
605	4411	2868
606	4418	2860
607	4426	2853
608	4432	2845
609	4439	2838
610	4447	2831
611	4453	2823
612	4461	2816
613	4468	2809
614	4476	2802
615	4482	2794
616	4489	2786
617	4496	2779
618	4503	2772
619	4510	2764
620	4518	2757
621	4525	2750
622	4532	2742
623	4538	2734
624	4545	2727
625	4553	2720
626	4560	2712
627	4567	2705
628	4574	2698
629	4581	2690
630	4588	2683
631	4595	2676
632	4602	2668
633	4610	2661
634	4616	2653
635	4624	2646
636	4631	2639
637	4637	2631
638	4644	2624
639	4651	2616
640	4658	2608
641	4665	2601
642	4672	2594
643	4679	2586
644	4686	2579
645	4693	2571
646	4700	2564
647	4706	2556
648	4713	2549
649	4720	2541
650	4726	2534
